port_code,date,iec,hs_code,goods_description,master_category,model_name,model_number,capacity,qty,unit_of_measure,price,unit_of_measure.1,quantity,unit,unit_price_inr,total_value_inr,unit_price_usd,total_value_usd,duty_paid_inr
INNSA1,2025-09-23,301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1232 PCS/CNY 101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 123,,,,,,,,,4004.0,KGS,434.3341333666334,1739073.87,4.888397674357157,19573.14428812606,488679.8
INNSA1,2025-09-23,301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS) H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS),,,,,,,,,9776.0,KGS,347.6034666530278,3398171.49,3.912250609488215,38246.16195835679,954886.2
INNSA1,2025-09-23,301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS)H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS,,,,,,,,,9776.0,KGS,347.6034185761047,3398171.02,3.912250068386097,38246.15666854248,954886.0
INNSA1,2025-09-20,301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.2,,,,,,,,,5120.0,KGS,660.84275390625,3383514.9,7.437734990503658,38081.20315137873,1239719.9
INNSA1,2025-09-10,301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,232 PCS/CNY:101.00 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,23",,,,,,,,,4004.0,KGS,427.8509965034965,1713115.39,4.807314567455016,19248.48752808988,627685.5
INNSA1,2025-09-09,301049751,73239990,STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS) STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS),,,,,,,,,150.0,KGS,499.2998,74894.97,5.610110112359552,841.5165168539327,27441.5
INNSA1,2025-09-05,301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-026-3S) (QTY:1696 PCS/CNY: 81.50 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-026-3S) (QTY,,,,,,,,,6614.4,KGS,308.0440629535559,2037526.65,3.461169246669168,22893.55786516854,746549.7
INNSA1,2025-09-02,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:4842 PCS/USD 0.977 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:4842 PCS/USD 0.977 PER PCS,,,,,,,,,1183.6,KGS,381.6843697194998,451761.62,4.342256765864617,5139.49510807736,165525.4
INNSA1,2025-09-02,301049751,73239990,SY-845-4 STEEL BASKET BIG (QTY 37200 PCS/USD 0.9691 PER PCS) SY-845-4 STEEL BASKET BIG (QTY 37200 PCS/USD 0.9691 PER PCS),,,,,,,,,6975.0,KGS,506.1900172043012,3530675.37,5.758703267398193,40166.95529010239,1293639.5
INNSA1,2025-09-02,301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.270 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.270 PER PCS),,,,,,,,,2310.0,KGS,562.5649134199134,1299524.95,6.400055897837468,14784.12912400455,476146.0
INNSA1,2025-09-02,301049751,73239990,AM-321 STEEL DRAINER (QTY:21648 PCS/USD 0.702 PER PCS) AM-321 STEEL DRAINER (QTY:21648 PCS/USD 0.702 PER PCS),,,,,,,,,2976.6,KGS,487.5564066384466,1451260.4,5.546716799072201,16510.35722411831,531741.8
INNSA1,2025-08-30,301049751,73239990,STEEL SALT BOTTLE (NP-19) (QTY: 36180 PC/USD 0.446 PER PC) STEEL SALT BOTTLE (NP-19) (QTY: 36180 PC/USD 0.446 PER PC),,,,,,,,,5628.0,KGS,271.1943105899076,1526281.58,3.085259506142294,17363.84050056883,559229.5
INNSA1,2025-08-29,301049751,73231000,"STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228PER SET)STEEL SCRUBBER 6PCS SET (OKS-4156) (QTY:98,400 SET/USD:0.228",,,,,,,,,8856.0,KGS,242.0626456639566,2143706.79,2.753841247599051,24388.0180887372,942373.5
INNSA1,2025-08-23,301049751,73231000,STEEL SCRUBBER (8001-12) (QTY:263520 PCS/USD:0.078 PER PCS) STEEL SCRUBBER (8001-12) (QTY:263520 PCS/USD:0.078 PER PCS),,,,,,,,,4758.0,KGS,399.7661097099622,1902087.15,4.547964843116748,21639.21672354949,836157.4
